1.64	1.6494	0.1876	-0.138
1.65	1.6479	0.1863	-0.1357
1.66	1.6462	0.1849	-0.133
1.67	1.6443	0.1836	-0.13
1.68	1.6423	0.1824	-0.1267
1.69	1.64	0.1811	-0.1233
1.7	2.3886	0.1799	-0.1197
1.71	2.3859	0.1789	-0.0978
1.72	2.383	0.1783	-0.0602
1.73	2.38	0.1781	-0.0259
1.74	2.3767	0.1781	0.005
1.75	2.3732	0.1785	0.0329
1.76	2.3696	0.179	0.0577
1.77	2.3657	0.1798	0.0798
1.78	2.3616	0.1808	0.0992
1.79	2.3574	0.182	0.116
1.8	1.8516	0.1833	0.1306
1.81	1.847	0.1846	0.1307
1.82	1.8421	0.1858	0.1183
1.83	1.8371	0.1869	0.1063
1.84	1.8319	0.1878	0.0947
1.85	1.8265	0.1886	0.0835
1.86	1.8209	0.1894	0.0727
1.87	1.8151	0.19	0.0623
1.88	1.8091	0.1905	0.0524
1.89	1.8029	0.1909	0.0428
1.9	1.678	0.1913	0.0337
1.91	1.6714	0.1915	0.0221
1.92	1.6646	0.1916	0.0084
1.93	1.6577	0.1915	-0.0044
1.94	1.6506	0.1914	-0.0162
1.95	1.6433	0.1911	-0.0272
1.96	1.6358	0.1907	-0.0373
1.97	1.6281	0.1903	-0.0467
1.98	1.6202	0.1897	-0.0553
1.99	1.6122	0.1891	-0.0632
2	1.6311	0.1884	-0.0705
2.01	1.6227	0.1876	-0.0764
2.02	1.6141	0.1868	-0.0812
2.03	1.6053	0.1859	-0.0855
2.04	1.5963	0.185	-0.0895
2.05	1.5872	0.1841	-0.0931
2.06	1.5779	0.1831	-0.0963
2.07	1.5684	0.1822	-0.0992
2.08	1.5588	0.1811	-0.1018
2.09	1.5489	0.1801	-0.1041
2.1	1.5595	0.179	-0.1062
2.11	1.5494	0.178	-0.1076
2.12	1.539	0.1769	-0.1083
2.13	1.5285	0.1758	-0.1089
2.14	1.5178	0.1747	-0.1095
2.15	1.5069	0.1736	-0.11
2.16	1.4959	0.1725	-0.1104
2.17	1.4847	0.1714	-0.1108
2.18	1.4733	0.1703	-0.1111
2.19	1.4618	0.1692	-0.1115
2.2	1.509	0.168	-0.1118
2.21	1.4972	0.1669	-0.1107
2.22	1.4852	0.1658	-0.1084
2.23	1.473	0.1648	-0.1063
2.24	1.4607	0.1637	-0.1045
2.25	1.4482	0.1627	-0.103
2.26	1.4355	0.1617	-0.1017
2.27	1.4227	0.1607	-0.1006
2.28	1.4098	0.1597	-0.0998
2.29	1.3967	0.1587	-0.0992
2.3	1.3815	0.1577	-0.0988
2.31	1.3681	0.1567	-0.0987
2.32	1.3546	0.1557	-0.0988
2.33	1.3409	0.1547	-0.099
2.34	1.327	0.1537	-0.0994
2.35	1.313	0.1527	-0.1
2.36	1.2989	0.1517	-0.1007
2.37	1.2847	0.1507	-0.1015
2.38	1.2702	0.1497	-0.1024
2.39	1.2557	0.1487	-0.1035
2.4	1.3031	0.1476	-0.1046
2.41	1.2883	0.1466	-0.1044
2.42	1.2733	0.1455	-0.1029
2.43	1.2583	0.1445	-0.1018
2.44	1.2431	0.1435	-0.101
2.45	1.2277	0.1425	-0.1005
2.46	1.2122	0.1415	-0.1003
2.47	1.1967	0.1405	-0.1004
2.48	1.1809	0.1395	-0.1008
2.49	1.1651	0.1385	-0.1014
2.5	1.5303	0.1375	-0.1022
2.51	1.5143	0.1365	-0.094
2.52	1.4981	0.1357	-0.078
2.53	1.4817	0.1351	-0.0639
2.54	1.4653	0.1346	-0.0516
2.55	1.4488	0.1342	-0.041
2.56	1.4321	0.1339	-0.032
2.57	1.4153	0.1336	-0.0245
2.58	1.3985	0.1334	-0.0184
2.59	1.3815	0.1333	-0.0136
2.6	1.0475	0.1332	-0.01
2.61	1.0303	0.133	-0.0152
2.62	1.013	0.1328	-0.028
2.63	0.9956	0.1324	-0.0403
2.64	0.9781	0.1318	-0.0521
2.65	0.9605	0.1312	-0.0633
2.66	0.9428	0.1305	-0.074
2.67	0.9251	0.1296	-0.0842
2.68	0.9072	0.1287	-0.0939
2.69	0.8892	0.1277	-0.103
2.7	1.1408	0.1265	-0.1116
2.71	1.1226	0.1254	-0.1132
2.72	1.1044	0.1243	-0.1087
2.73	1.0861	0.1233	-0.105
2.74	1.0678	0.1222	-0.102
2.75	1.0493	0.1213	-0.0996
2.76	1.0308	0.1203	-0.0979
2.77	1.0122	0.1193	-0.0968
2.78	0.9935	0.1183	-0.0962
2.79	0.9748	0.1174	-0.0961
2.8	0.8421	0.1164	-0.0964
